2024-04-15 11:44:09,679 - INFO - New City Created with the deatils- name=De Kalb, Mapped State ID=32, Remapped Country ID=US.
2024-04-15 11:44:10,972 - INFO - New City Created with the deatils- name=DeKalb, Mapped State ID=20, Remapped Country ID=US.
2024-04-15 11:44:12,188 - INFO - New City Created with the deatils- name=De Soto, Mapped State ID=32, Remapped Country ID=US.
2024-04-15 11:44:13,374 - INFO - New City Created with the deatils- name=DeSoto, Mapped State ID=50, Remapped Country ID=US.
2024-04-15 11:44:14,566 - INFO - New City Created with the deatils- name=DeSoto, Mapped State ID=78, Remapped Country ID=AU.
2024-04-15 11:44:15,787 - INFO - New City Created with the deatils- name=Delano, Mapped State ID=30, Remapped Country ID=US.
2024-04-15 11:44:16,982 - INFO - New City Created with the deatils- name=Delavan, Mapped State ID=20, Remapped Country ID=US.
2024-04-15 11:44:18,208 - INFO - New City Created with the deatils- name=Dublin, Mapped State ID=11, Remapped Country ID=US.
2024-04-15 11:44:19,779 - INFO - New City Created with the deatils- name=Dublin, Mapped State ID=17, Remapped Country ID=US.
2024-04-15 11:44:21,072 - INFO - New City Created with the deatils- name=Sherwood, Mapped State ID=44, Remapped Country ID=US.
2024-04-15 11:44:22,283 - INFO - New City Created with the deatils- name=Edgerton, Mapped State ID=30, Remapped Country ID=US.
2024-04-15 11:44:23,468 - INFO - New City Created with the deatils- name=Edgerton, Mapped State ID=56, Remapped Country ID=US.
2024-04-15 11:44:24,979 - INFO - New City Created with the deatils- name=El Dorado, Mapped State ID=20, Remapped Country ID=US.
2024-04-15 11:44:26,196 - INFO - New City Created with the deatils- name=nan, Mapped State ID=44, Remapped Country ID=US.
2024-04-15 11:44:27,375 - INFO - New City Created with the deatils- name=nan, Mapped State ID=39, Remapped Country ID=US.
2024-04-15 11:44:28,661 - INFO - New City Created with the deatils- name=nan, Mapped State ID=32, Remapped Country ID=US.
2024-04-15 11:44:30,460 - INFO - New City Created with the deatils- name=nan, Mapped State ID=23, Remapped Country ID=US.
2024-04-15 11:44:31,675 - INFO - New City Created with the deatils- name=Clay, Mapped State ID=24, Remapped Country ID=US.
2024-04-15 11:44:32,877 - INFO - New City Created with the deatils- name=Winfield, Mapped State ID=16, Remapped Country ID=US.
2024-04-15 11:44:34,101 - INFO - New City Created with the deatils- name=Winfield, Mapped State ID=22, Remapped Country ID=US.
2024-04-15 11:44:35,272 - INFO - New City Created with the deatils- name=Spencerville, Mapped State ID=21, Remapped Country ID=US.
2024-04-15 11:44:36,482 - INFO - New City Created with the deatils- name=Winfield, Mapped State ID=23, Remapped Country ID=US.
2024-04-15 11:44:37,866 - INFO - New City Created with the deatils- name=Winfield, Mapped State ID=32, Remapped Country ID=US.
2024-04-15 11:44:39,173 - INFO - New City Created with the deatils- name=Winfield, Mapped State ID=50, Remapped Country ID=US.
2024-04-15 11:44:40,446 - INFO - New City Created with the deatils- name=Winfield, Mapped State ID=55, Remapped Country ID=US.
2024-04-15 11:44:41,676 - INFO - New City Created with the deatils- name=Winthrop, Mapped State ID=22, Remapped Country ID=US.
2024-04-15 11:44:42,861 - INFO - New City Created with the deatils- name=Winthrop, Mapped State ID=30, Remapped Country ID=US.
2024-04-15 11:44:44,079 - INFO - New City Created with the deatils- name=Portage, Mapped State ID=21, Remapped Country ID=US.
2024-04-15 11:44:45,280 - INFO - New City Created with the deatils- name=Portage, Mapped State ID=29, Remapped Country ID=US.
2024-04-15 11:44:46,483 - INFO - New City Created with the deatils- name=Seaford, Mapped State ID=78, Remapped Country ID=AU.
2024-04-15 11:44:47,677 - INFO - New City Created with the deatils- name=Seaside, Mapped State ID=11, Remapped Country ID=US.
2024-04-15 11:44:48,874 - INFO - New City Created with the deatils- name=Slater , Mapped State ID=32, Remapped Country ID=US.
2024-04-15 11:44:50,075 - INFO - New City Created with the deatils- name=Dawson, Mapped State ID=22, Remapped Country ID=US.
2024-04-15 11:44:51,271 - INFO - New City Created with the deatils- name=Dawson, Mapped State ID=30, Remapped Country ID=US.
2024-04-15 11:44:52,504 - INFO - New City Created with the deatils- name=Dawson, Mapped State ID=41, Remapped Country ID=US.
2024-04-15 11:44:54,054 - INFO - New City Created with the deatils- name=Seaside, Mapped State ID=44, Remapped Country ID=US.
2024-04-15 11:44:55,278 - INFO - New City Created with the deatils- name=Dillon, Mapped State ID=47, Remapped Country ID=US.
2024-04-15 11:44:56,456 - ERROR - Error creating City nan: 422 Client Error: Unprocessable Content for url: https://classification-dev.dom-non-prod.with.digital/api/cities
2024-04-15 11:44:57,658 - ERROR - Error creating City nan: 422 Client Error: Unprocessable Content for url: https://classification-dev.dom-non-prod.with.digital/api/cities
2024-04-15 11:44:58,855 - ERROR - Error creating City nan: 422 Client Error: Unprocessable Content for url: https://classification-dev.dom-non-prod.with.digital/api/cities
2024-04-15 11:45:00,180 - ERROR - Error creating City nan: 422 Client Error: Unprocessable Content for url: https://classification-dev.dom-non-prod.with.digital/api/cities
2024-04-15 11:45:01,479 - ERROR - Error creating City nan: 422 Client Error: Unprocessable Content for url: https://classification-dev.dom-non-prod.with.digital/api/cities
2024-04-15 11:45:02,774 - INFO - New City Created with the deatils- name=Barnesville, Mapped State ID=30, Remapped Country ID=US.
2024-04-15 11:45:03,986 - INFO - New City Created with the deatils- name=Ramsey, Mapped State ID=30, Remapped Country ID=US.
2024-04-15 11:45:05,159 - ERROR - Error creating City Oak Hill: 422 Client Error: Unprocessable Content for url: https://classification-dev.dom-non-prod.with.digital/api/cities
2024-04-15 11:45:06,356 - ERROR - Error creating City Oak Hill: 422 Client Error: Unprocessable Content for url: https://classification-dev.dom-non-prod.with.digital/api/cities
2024-04-15 11:45:07,558 - ERROR - Error creating City Oak Hill: 422 Client Error: Unprocessable Content for url: https://classification-dev.dom-non-prod.with.digital/api/cities
2024-04-15 11:45:08,764 - ERROR - Error creating City nan: 422 Client Error: Unprocessable Content for url: https://classification-dev.dom-non-prod.with.digital/api/cities
2024-04-15 11:45:10,069 - INFO - New City Created with the deatils- name=Richmond Heights, Mapped State ID=32, Remapped Country ID=US.
2024-04-15 11:45:11,294 - INFO - New City Created with the deatils- name=Sheldon, Mapped State ID=32, Remapped Country ID=US.
2024-04-15 11:45:12,554 - INFO - New City Created with the deatils- name=Sheldon, Mapped State ID=41, Remapped Country ID=US.
2024-04-15 11:45:13,779 - INFO - New City Created with the deatils- name=Springville, Mapped State ID=22, Remapped Country ID=US.
2024-04-15 11:45:14,974 - INFO - New City Created with the deatils- name=Springville, Mapped State ID=51, Remapped Country ID=US.
2024-04-15 11:45:16,275 - INFO - New City Created with the deatils- name=Barnesville, Mapped State ID=42, Remapped Country ID=US.
2024-04-15 11:45:17,575 - INFO - New City Created with the deatils- name=Middletown, Mapped State ID=42, Remapped Country ID=US.
2024-04-15 11:45:18,758 - INFO - New City Created with the deatils- name=Millersburg, Mapped State ID=44, Remapped Country ID=US.
2024-04-15 11:45:19,965 - INFO - New City Created with the deatils- name=Milton, Mapped State ID=16, Remapped Country ID=US.
2024-04-15 11:45:21,181 - INFO - New City Created with the deatils- name=Saint Francis, Mapped State ID=23, Remapped Country ID=US.
2024-04-15 11:45:22,373 - INFO - New City Created with the deatils- name=Saint Francis, Mapped State ID=30, Remapped Country ID=US.
2024-04-15 11:45:23,682 - INFO - New City Created with the deatils- name=Saint Francis, Mapped State ID=56, Remapped Country ID=US.
2024-04-15 11:45:24,999 - INFO - New City Created with the deatils- name=Saint Thomas, Mapped State ID=41, Remapped Country ID=US.
2024-04-15 11:45:26,257 - INFO - New City Created with the deatils- name=Stanley, Mapped State ID=41, Remapped Country ID=US.
2024-04-15 11:45:27,448 - INFO - New City Created with the deatils- name=Stanley, Mapped State ID=56, Remapped Country ID=US.
2024-04-15 11:45:28,582 - INFO - New City Created with the deatils- name=Republic, Mapped State ID=32, Remapped Country ID=US.
2024-04-15 11:45:30,449 - INFO - New City Created with the deatils- name=Republic, Mapped State ID=54, Remapped Country ID=US.
2024-04-15 11:45:31,673 - INFO - New City Created with the deatils- name=Quitman, Mapped State ID=17, Remapped Country ID=US.
2024-04-15 11:45:32,953 - INFO - New City Created with the deatils- name=Quitman, Mapped State ID=31, Remapped Country ID=US.
2024-04-15 11:45:34,175 - INFO - New City Created with the deatils- name=Quitman, Mapped State ID=50, Remapped Country ID=US.
2024-04-15 11:45:35,376 - INFO - New City Created with the deatils- name=Paradise, Mapped State ID=50, Remapped Country ID=US.
2024-04-15 11:45:36,576 - INFO - New City Created with the deatils- name=Plainville, Mapped State ID=17, Remapped Country ID=US.
2024-04-15 11:45:37,779 - INFO - New City Created with the deatils- name=Hallsville, Mapped State ID=50, Remapped Country ID=US.
2024-04-15 11:45:38,974 - INFO - New City Created with the deatils- name=Ripon, Mapped State ID=11, Remapped Country ID=US.
2024-04-15 11:45:40,175 - INFO - New City Created with the deatils- name=Riverton, Mapped State ID=51, Remapped Country ID=US.
2024-04-15 11:45:41,380 - INFO - New City Created with the deatils- name=Linwood, Mapped State ID=23, Remapped Country ID=US.
2024-04-15 11:45:42,574 - INFO - New City Created with the deatils- name=Marion, Mapped State ID=21, Remapped Country ID=US.
2024-04-15 11:45:43,772 - INFO - New City Created with the deatils- name=Smithville, Mapped State ID=20, Remapped Country ID=US.
2024-04-15 11:45:45,069 - INFO - New City Created with the deatils- name=Linwood, Mapped State ID=31, Remapped Country ID=US.
2024-04-15 11:45:46,271 - INFO - New City Created with the deatils- name=Linwood, Mapped State ID=37, Remapped Country ID=US.
2024-04-15 11:45:47,473 - INFO - New City Created with the deatils- name=Milford, Mapped State ID=14, Remapped Country ID=US.
2024-04-15 11:45:48,674 - INFO - New City Created with the deatils- name=Longview, Mapped State ID=54, Remapped Country ID=US.
2024-04-15 11:45:51,466 - INFO - New City Created with the deatils- name=Milford, Mapped State ID=42, Remapped Country ID=US.
2024-04-15 11:45:52,670 - ERROR - Error creating City CHECKED: 422 Client Error: Unprocessable Content for url: https://classification-dev.dom-non-prod.with.digital/api/cities
2024-04-15 11:45:54,048 - INFO - New City Created with the deatils- name=Yorkville, Mapped State ID=49, Remapped Country ID=US.
2024-04-15 11:45:55,965 - INFO - New City Created with the deatils- name=Wilson, Mapped State ID=23, Remapped Country ID=US.
2024-04-15 11:45:57,188 - INFO - New City Created with the deatils- name=Wood River, Mapped State ID=34, Remapped Country ID=US.
2024-04-15 11:45:58,378 - INFO - New City Created with the deatils- name=Wilson, Mapped State ID=40, Remapped Country ID=US.
